team,att,rushyds,ypc,td,20plus,40plus,lng,rush_1st,rush_1st_percentage,rushfum,year
RaidersRaiders,387,1628,4.2,9,8,2,52,86,22.2,8,2018
DolphinsDolphins,371,1738,4.7,7,12,3,75,75,20.2,7,2018
BengalsBengals,359,1682,4.7,13,16,3,51T,92,25.6,2,2018
VikingsVikings,357,1493,4.2,9,13,1,70T,66,18.5,6,2018
CardinalsCardinals,355,1342,3.8,9,6,1,53,76,21.4,6,2018
GiantsGiants,354,1650,4.7,13,17,7,78T,71,20.1,0,2018
FalconsFalcons,351,1573,4.5,11,14,3,65T,84,23.9,4,2018
SteelersSteelers,345,1445,4.2,16,10,0,30,88,25.5,4,2018
PackersPackers,333,1667,5,14,10,1,67,98,29.4,4,2018
RavensRavens,547,2441,4.5,19,14,1,43T,152,27.8,16,2019
SeahawksSeahawks,534,2560,4.8,15,17,2,61,133,24.9,6,2019
PatriotsPatriots,478,2037,4.3,18,12,0,34,131,27.4,2,2019
TexansTexans,472,2021,4.3,12,8,2,97T,94,19.9,4,2019
SaintsSaints,471,2025,4.3,26,9,1,49T,134,28.4,7,2019
BillsBills,468,1984,4.2,15,15,1,45,108,23.1,7,2019
BearsBears,468,1938,4.1,16,17,1,42T,108,23.1,9,2019
RamsRams,459,2231,4.9,23,14,2,56,134,29.2,2,2019
TitansTitans,454,2023,4.5,15,10,2,99,106,23.4,4,2019
CowboysCowboys,439,1963,4.5,13,12,1,41,112,25.5,10,2019
49ers49ers,423,1902,4.5,7,15,3,66,98,23.2,13,2019
PanthersPanthers,416,2136,5.1,17,15,3,59,117,28.1,7,2019
JaguarsJaguars,416,1723,4.1,7,9,2,43T,92,22.1,5,2019
RedskinsRedskins,414,1774,4.3,12,7,3,90,96,23.2,6,2019
BrownsBrowns,411,1893,4.6,15,18,5,92T,93,22.6,6,2019
JetsJets,410,1622,4,11,11,3,77,84,20.5,9,2019
ColtsColts,408,1718,4.2,13,9,2,53T,96,23.5,5,2019
LionsLions,404,1660,4.1,11,10,1,71T,91,22.5,3,2019
ChargersChargers,399,1873,4.7,16,16,1,41,100,25.1,2,2019
EaglesEagles,398,1570,3.9,12,7,0,32,94,23.6,5,2019
BroncosBroncos,393,1907,4.8,18,12,3,65,106,27,4,2019
BuccaneersBuccaneers,389,1523,3.9,11,5,0,28,79,20.3,5,2019
ChiefsChiefs,387,1855,4.8,16,19,1,45,108,27.9,4,2019
RaidersRaiders,387,1628,4.2,9,8,2,52,86,22.2,8,2019
DolphinsDolphins,371,1738,4.7,7,12,3,75,75,20.2,7,2019
BengalsBengals,359,1682,4.7,13,16,3,51T,92,25.6,2,2019
VikingsVikings,357,1493,4.2,9,13,1,70T,66,18.5,6,2019
CardinalsCardinals,355,1342,3.8,9,6,1,53,76,21.4,6,2019
GiantsGiants,354,1650,4.7,13,17,7,78T,71,20.1,0,2019
FalconsFalcons,351,1573,4.5,11,14,3,65T,84,23.9,4,2019
SteelersSteelers,345,1445,4.2,16,10,0,30,88,25.5,4,2019
PackersPackers,333,1667,5,14,10,1,67,98,29.4,4,2019
RavensRavens,555,3071,5.5,24,31,5,72,166,29.9,11,2020
TitansTitans,521,2690,5.2,26,20,5,94,142,27.3,5,2020
PatriotsPatriots,502,2346,4.7,20,13,3,49,143,28.5,8,2020
BrownsBrowns,495,2374,4.8,21,21,4,59,133,26.9,7,2020
SaintsSaints,494,2265,4.6,30,14,3,49T,147,29.8,9,2020
CardinalsCardinals,479,2237,4.7,22,17,2,69T,136,28.4,9,2020
RamsRams,473,2018,4.3,19,9,4,61T,123,26,4,2020
VikingsVikings,468,2283,4.9,20,10,1,70T,139,29.7,5,2020
ChargersChargers,466,1784,3.8,12,10,0,36,111,23.8,8,2020
ColtsColts,459,1996,4.4,20,12,3,62,129,28.1,1,2020
RaidersRaiders,457,1916,4.2,20,9,1,43,121,26.5,9,2020
PackersPackers,443,2118,4.8,16,10,4,77,114,25.7,4,2020
BroncosBroncos,442,1918,4.3,13,13,3,65,94,21.3,7,2020
49ers49ers,437,1889,4.3,19,8,2,80,101,23.1,6,2020
CowboysCowboys,430,1788,4.2,14,7,2,42,115,26.7,7,2020
DolphinsDolphins,428,1688,3.9,15,7,0,31,100,23.4,5,2020
BillsBills,411,1723,4.2,16,10,1,51,119,29,6,2020
BengalsBengals,411,1668,4.1,13,9,2,55,92,22.4,8,2020
SeahawksSeahawks,411,1971,4.8,15,11,1,50,111,27,6,2020
FalconsFalcons,409,1532,3.8,13,6,1,62,86,21,5,2020
PanthersPanthers,407,1704,4.2,19,6,1,45T,110,27,7,2020
JetsJets,406,1683,4.2,9,4,1,46,94,23.2,2,2020
ChiefsChiefs,403,1799,4.5,13,10,0,32,110,27.3,5,2020
EaglesEagles,403,2027,5,16,12,5,82,114,28.3,15,2020
Football TeamFootball Team,400,1611,4,18,7,1,40,108,27,3,2020
GiantsGiants,399,1768,4.4,13,9,3,80T,91,22.8,5,2020
BearsBears,393,1647,4.2,12,8,3,80,93,23.7,1,2020
SteelersSteelers,373,1351,3.6,12,10,2,59,81,21.7,7,2020
BuccaneersBuccaneers,369,1519,4.1,16,9,2,98,82,22.2,3,2020
LionsLions,367,1499,4.1,17,5,1,54,93,25.3,5,2020
TexansTexans,344,1466,4.3,10,5,1,48T,83,24.1,7,2020
JaguarsJaguars,337,1519,4.5,9,6,1,47T,80,23.7,3,2020
TitansTitans,551,2401,4.4,23,11,3,76,134,24.3,10,2021
EaglesEagles,550,2715,4.9,25,17,0,38T,163,29.6,8,2021
RavensRavens,517,2479,4.8,18,15,1,46,159,30.8,7,2021
SaintsSaints,510,1991,3.9,12,9,1,44,113,22.2,2,2021
ColtsColts,499,2540,5.1,22,19,5,83T,154,30.9,7,2021
49ers49ers,499,2161,4.3,22,12,1,49T,130,26,6,2021
CardinalsCardinals,496,2076,4.2,23,10,3,57,127,25.6,17,2021
PatriotsPatriots,489,2151,4.4,24,11,1,64,139,28.4,7,2021
BrownsBrowns,485,2471,5.1,20,18,2,70,138,28.4,5,2021
Football TeamFootball Team,477,2061,4.3,13,8,0,38,129,27,11,2021
BearsBears,475,2015,4.2,14,13,1,41,119,25,8,2021
CowboysCowboys,473,2104,4.4,15,11,2,58,111,23.5,9,2021
BillsBills,461,2209,4.8,20,18,2,46T,134,29.1,8,2021
PanthersPanthers,455,1839,4,17,8,0,33T,118,25.9,11,2021
BroncosBroncos,455,2025,4.4,16,10,3,70,123,27,7,2021
VikingsVikings,449,1930,4.3,10,13,2,66,103,22.9,6,2021
PackersPackers,446,1900,4.3,13,7,1,57T,109,24.4,5,2021
DolphinsDolphins,442,1568,3.6,12,5,0,30,87,19.7,7,2021
BengalsBengals,436,1742,4,16,8,1,46T,96,22,3,2021
ChiefsChiefs,431,1955,4.5,16,9,1,51,119,27.6,8,2021
LionsLions,427,1886,4.4,12,12,2,57,104,24.4,6,2021
ChargersChargers,423,1834,4.3,18,7,1,75,112,26.5,3,2021
TexansTexans,420,1422,3.4,8,6,0,36T,77,18.3,6,2021
RamsRams,420,1681,4,10,3,0,39,99,23.6,3,2021
GiantsGiants,419,1688,4,8,9,2,46,90,21.5,4,2021
RaidersRaiders,414,1617,3.9,14,7,0,31T,95,23,9,2021
SeahawksSeahawks,413,2074,5,18,18,3,73,106,25.7,4,2021
SteelersSteelers,411,1583,3.8,10,9,0,37,85,20.7,1,2021
FalconsFalcons,393,1443,3.7,11,2,0,39T,75,19.1,10,2021
JaguarsJaguars,392,1755,4.5,13,7,2,66T,92,23.5,6,2021
BuccaneersBuccaneers,385,1672,4.3,18,9,2,55,106,27.5,4,2021
JetsJets,380,1667,4.4,14,9,2,55,87,22.9,1,2021
