team,att,cmp,cmp_percentage,yds_att,passyds,td,int_,rate,1st,1st_Percentage,20plus,40plus,lng,sck,scky,year
BillsBills,476,289,60.7,6.5,3086,16,10,82.1,149,31.3,40,4,47,47,261,2017
BearsBears,473,291,61.5,6.5,3085,13,12,79.1,144,30.4,30,4,70,39,274,2017
SteelersSteelers,689,459,66.6,7.5,5174,35,17,95.5,251,36.4,62,16,97,24,166,2018
ColtsColts,644,432,67.1,7.1,4595,39,15,98.2,237,36.8,53,7,68,18,134,2018
PackersPackers,640,392,61.2,7.2,4629,25,4,93.7,208,32.5,57,16,75,53,391,2018
BuccaneersBuccaneers,625,408,65.3,8.6,5358,36,26,94.1,265,42.4,71,14,75,41,233,2018
FalconsFalcons,617,428,69.4,8,4949,36,7,108,238,38.6,56,9,75,42,296,2018
VikingsVikings,606,425,70.1,7.1,4298,30,10,99.7,218,36,47,7,75T,40,262,2018
EaglesEagles,599,422,70.4,7.6,4524,29,11,100.8,221,36.9,52,9,83,40,249,2018
BroncosBroncos,588,367,62.4,6.7,3930,19,15,82.1,181,30.8,53,11,64,34,235,2018
ChiefsChiefs,583,385,66,8.8,5126,50,12,113.8,239,41,76,15,89T,26,171,2018
GiantsGiants,583,382,65.5,7.6,4405,23,12,92.7,208,35.7,59,12,58,47,358,2018
BrownsBrowns,574,353,61.5,7.4,4261,29,17,88.8,189,32.9,60,11,71,38,254,2018
LionsLions,574,375,65.3,6.7,3844,22,12,88.5,201,35,44,6,67,41,268,2018
PatriotsPatriots,574,378,65.8,7.7,4405,29,11,97.8,206,35.9,54,8,63T,21,147,2018
RamsRams,568,368,64.8,8.3,4730,32,12,100.8,236,41.6,69,9,70T,33,223,2018
PanthersPanthers,563,378,67.1,7.2,4071,28,16,92.9,212,37.7,52,5,82,32,235,2018
RavensRavens,556,334,60.1,6.7,3708,18,9,84,184,33.1,43,6,74,32,150,2018
RaidersRaiders,556,382,68.7,7.3,4057,19,10,93.6,197,35.4,52,7,66,52,306,2018
BengalsBengals,542,331,61.1,6.6,3569,27,13,87,182,33.6,53,1,49T,37,279,2018
JaguarsJaguars,536,329,61.4,6.4,3431,15,13,79.1,164,30.6,41,3,80,53,322,2018
49ers49ers,532,331,62.2,8,4247,26,20,87.8,201,37.8,61,12,85,48,380,2018
CowboysCowboys,527,356,67.6,7.4,3885,22,8,96.7,184,34.9,39,9,90,56,347,2018
JetsJets,524,299,57.1,6.5,3404,18,19,73,157,30,44,5,76T,37,239,2018
SaintsSaints,519,381,73.4,8,4174,33,7,112.3,210,40.5,59,7,72T,20,132,2018
BearsBears,512,344,67.2,7.3,3747,28,14,95.4,177,34.6,46,11,70,33,183,2018
ChargersChargers,512,348,68,8.4,4316,32,12,104.9,213,41.6,60,10,75,34,227,2018
RedskinsRedskins,509,311,61.1,6.5,3287,16,15,78.1,156,30.6,40,6,79,44,266,2018
TexansTexans,506,345,68.2,8.2,4165,26,9,102.9,202,39.9,51,8,73,62,384,2018
BillsBills,499,271,54.3,6.2,3082,13,23,62.6,137,27.4,43,8,75,41,288,2018
CardinalsCardinals,495,283,57.2,5.8,2884,15,18,69,137,27.7,31,4,75,52,361,2018
DolphinsDolphins,455,292,64.2,7.3,3309,26,13,93,153,33.6,34,9,75,52,409,2018
TitansTitans,437,293,67,7.4,3255,16,12,89.8,156,35.7,37,6,66,47,280,2018
SeahawksSeahawks,427,280,65.6,8.1,3448,35,7,110.9,156,36.5,47,13,66,51,355,2018
FalconsFalcons,684,459,67.1,7.4,5049,29,15,93.8,258,37.7,52,5,93,50,335,2019
PanthersPanthers,633,382,60.4,6.5,4134,17,21,74.7,230,36.3,40,7,52,58,484,2019
RamsRams,632,397,62.8,7.4,4669,22,17,85.6,222,35.1,73,6,66T,22,170,2019
BuccaneersBuccaneers,630,382,60.6,8.1,5127,33,30,84.1,244,38.7,75,13,71T,47,282,2019
PatriotsPatriots,620,378,61,6.7,4153,25,9,88.2,197,31.8,62,6,59,28,192,2019
BengalsBengals,616,356,57.8,6.5,3994,18,16,76.2,191,31,48,7,66T,48,342,2019
DolphinsDolphins,615,371,60.3,6.7,4117,22,18,80,210,34.2,49,7,51,58,313,2019
EaglesEagles,613,391,63.8,6.6,4063,27,8,92.1,215,35.1,52,6,53,37,230,2019
GiantsGiants,607,376,61.9,6.7,4070,30,17,86.4,187,30.8,54,11,75,43,339,2019
CowboysCowboys,597,388,65,8.2,4902,30,11,99.5,229,38.4,68,16,62T,23,151,2019
ChargersChargers,597,394,66,7.8,4648,24,20,89,220,36.8,57,12,84,34,222,2019
JaguarsJaguars,589,364,61.8,6.8,4023,24,8,90,183,31.1,53,6,70T,42,263,2019
SaintsSaints,581,418,71.9,7.6,4431,36,6,110.2,230,39.6,54,9,61T,25,187,2019
BearsBears,580,371,64,6.2,3573,20,12,83.9,178,30.7,39,2,53,45,282,2019
ChiefsChiefs,576,378,65.6,8.1,4690,30,5,104.4,211,36.6,59,18,83,25,192,2019
PackersPackers,573,356,62.1,7,4017,26,4,95.3,190,33.2,52,12,74T,36,284,2019
LionsLions,571,344,60.2,7.3,4187,28,15,88.2,196,34.3,60,13,75,43,287,2019
CardinalsCardinals,554,355,64.1,6.8,3797,20,12,87,176,31.8,49,10,88T,50,320,2019
BrownsBrowns,539,318,59,7.1,3847,22,21,78.4,180,33.4,58,9,89,41,293,2019
TexansTexans,534,355,66.5,7.6,4083,27,14,95.3,203,38,51,10,54T,49,300,2019
RaidersRaiders,523,367,70.2,7.9,4110,22,8,101,194,37.1,54,10,75,29,184,2019
JetsJets,521,323,62,6.6,3443,19,16,80.6,162,31.1,44,6,92,52,332,2019
SeahawksSeahawks,517,341,66,8,4110,31,6,105.3,190,36.8,55,10,60,48,319,2019
BillsBills,513,299,58.3,6.8,3476,21,12,82.8,162,31.6,54,8,53,40,247,2019
ColtsColts,513,307,59.8,6.5,3314,22,10,85,165,32.2,38,3,50T,32,206,2019
SteelersSteelers,510,315,61.8,6.3,3214,18,19,76,147,28.8,37,8,79,32,233,2019
BroncosBroncos,504,312,61.9,6.8,3401,16,10,84.1,162,32.1,46,10,75,41,286,2019
RedskinsRedskins,479,298,62.2,6.7,3205,18,13,83,154,32.2,38,6,75,50,393,2019
49ers49ers,478,331,69.2,8.4,4029,28,13,103.1,195,40.8,62,8,75,36,237,2019
VikingsVikings,466,319,68.4,8,3729,26,8,103.9,171,36.7,53,11,66T,28,206,2019
TitansTitans,448,297,66.3,8.8,3956,29,8,108.3,177,39.5,58,15,91,56,374,2019
RavensRavens,440,289,65.7,7.6,3350,37,8,109,171,38.9,44,8,83T,28,125,2019
SteelersSteelers,656,428,65.2,6.3,4129,35,11,93.5,206,31.4,48,7,84T,14,126,2020
